latitude_bin,longitude_bin,updated_type,updated_subtype,alert_count
41.77,-87.63,Hazard,Unclassified,29
41.77,-87.63,Hazard,Weather,22
41.77,-87.63,Road Closure,Event,3
41.77,-87.63,Traffic Jam,Heavy,851
41.77,-87.63,Traffic Jam,Moderate,18
41.77,-87.63,Traffic Jam,Standstill,501
41.77,-87.63,Traffic Jam,Unclassified,218
41.77,-87.62,Accident,Major,7
41.77,-87.62,Accident,Minor,6
41.77,-87.62,Accident,Unclassified,25
41.77,-87.62,Hazard,Road,187
41.77,-87.62,Hazard,Shoulder,234
41.77,-87.62,Hazard,Unclassified,1
41.77,-87.62,Hazard,Weather,8
41.77,-87.62,Road Closure,Unclassified,4
41.77,-87.62,Traffic Jam,Heavy,77
41.77,-87.62,Traffic Jam,Standstill,37
41.77,-87.62,Traffic Jam,Unclassified,45
41.77,-87.61,Accident,Major,1
41.77,-87.61,Accident,Minor,2
41.77,-87.61,Accident,Unclassified,18
41.77,-87.61,Hazard,Road,285
41.77,-87.61,Hazard,Shoulder,327
41.77,-87.61,Hazard,Unclassified,1
41.77,-87.61,Hazard,Weather,8
41.77,-87.61,Road Closure,Construction,1
41.77,-87.61,Road Closure,Event,4
41.77,-87.61,Road Closure,Unclassified,153
41.77,-87.61,Traffic Jam,Heavy,56
41.77,-87.61,Traffic Jam,Moderate,2
41.77,-87.61,Traffic Jam,Standstill,28
41.77,-87.61,Traffic Jam,Unclassified,46
41.77,-87.6,Accident,Unclassified,5
41.77,-87.6,Hazard,Road,37
41.77,-87.6,Hazard,Shoulder,1
41.77,-87.6,Road Closure,Unclassified,1
41.77,-87.6,Traffic Jam,Heavy,2
41.77,-87.6,Traffic Jam,Standstill,3
41.77,-87.6,Traffic Jam,Unclassified,2
41.77,-87.59,Accident,Major,2
41.77,-87.59,Accident,Minor,1
41.77,-87.59,Accident,Unclassified,16
41.77,-87.59,Hazard,Road,295
41.77,-87.59,Hazard,Shoulder,23
41.77,-87.59,Hazard,Unclassified,1
41.77,-87.59,Hazard,Weather,5
41.77,-87.59,Road Closure,Unclassified,3
41.77,-87.59,Traffic Jam,Heavy,41
41.77,-87.59,Traffic Jam,Moderate,4
41.77,-87.59,Traffic Jam,Standstill,21
41.77,-87.59,Traffic Jam,Unclassified,32
41.77,-87.58,Accident,Major,1
41.77,-87.58,Accident,Minor,1
41.77,-87.58,Accident,Unclassified,13
41.77,-87.58,Hazard,Road,65
41.77,-87.58,Hazard,Shoulder,7
41.77,-87.58,Hazard,Weather,2
41.77,-87.58,Road Closure,Unclassified,1
41.77,-87.58,Traffic Jam,Heavy,42
41.77,-87.58,Traffic Jam,Standstill,44
41.77,-87.58,Traffic Jam,Unclassified,30
41.77,-87.57,Accident,Major,1
41.77,-87.57,Accident,Minor,3
41.77,-87.57,Accident,Unclassified,32
41.77,-87.57,Hazard,Road,151
41.77,-87.57,Hazard,Shoulder,64
41.77,-87.57,Hazard,Weather,6
41.77,-87.57,Road Closure,Unclassified,3
41.77,-87.57,Traffic Jam,Heavy,59
41.77,-87.57,Traffic Jam,Moderate,1
41.77,-87.57,Traffic Jam,Standstill,22
41.77,-87.57,Traffic Jam,Unclassified,52
41.77,-87.56,Accident,Unclassified,4
41.77,-87.56,Hazard,Road,7
41.77,-87.56,Hazard,Shoulder,10
41.77,-87.56,Hazard,Weather,1
41.77,-87.56,Traffic Jam,Heavy,3
41.77,-87.56,Traffic Jam,Standstill,6
41.77,-87.56,Traffic Jam,Unclassified,2
41.78,-87.8,Accident,Major,1
41.78,-87.8,Accident,Minor,4
41.78,-87.8,Accident,Unclassified,11
41.78,-87.8,Hazard,Road,205
41.78,-87.8,Hazard,Shoulder,21
41.78,-87.8,Hazard,Unclassified,2
41.78,-87.8,Hazard,Weather,2
41.78,-87.8,Road Closure,Event,2
41.78,-87.8,Road Closure,Unclassified,4
41.78,-87.8,Traffic Jam,Heavy,124
41.78,-87.8,Traffic Jam,Moderate,2
41.78,-87.8,Traffic Jam,Standstill,179
41.78,-87.8,Traffic Jam,Unclassified,41
41.78,-87.79,Accident,Unclassified,3
41.78,-87.79,Hazard,Road,275
41.78,-87.79,Hazard,Shoulder,7
41.78,-87.79,Hazard,Weather,2
41.78,-87.79,Traffic Jam,Heavy,20
41.78,-87.79,Traffic Jam,Moderate,1
41.78,-87.79,Traffic Jam,Standstill,40
41.78,-87.79,Traffic Jam,Unclassified,9
41.78,-87.78,Accident,Unclassified,4
41.78,-87.78,Hazard,Road,83
41.78,-87.78,Hazard,Shoulder,4
41.78,-87.78,Hazard,Weather,2
41.78,-87.78,Road Closure,Unclassified,1
41.78,-87.78,Traffic Jam,Heavy,17
41.78,-87.78,Traffic Jam,Standstill,20
41.78,-87.78,Traffic Jam,Unclassified,18
41.78,-87.77,Accident,Major,1
41.78,-87.77,Accident,Unclassified,2
41.78,-87.77,Hazard,Road,46
41.78,-87.77,Hazard,Shoulder,1
41.78,-87.77,Hazard,Weather,1
41.78,-87.77,Road Closure,Unclassified,1
41.78,-87.77,Traffic Jam,Heavy,5
41.78,-87.77,Traffic Jam,Standstill,12
41.78,-87.77,Traffic Jam,Unclassified,5
41.78,-87.76,Accident,Major,1
41.78,-87.76,Accident,Minor,1
41.78,-87.76,Accident,Unclassified,8
41.78,-87.76,Hazard,Road,137
41.78,-87.76,Hazard,Shoulder,19
41.78,-87.76,Hazard,Unclassified,11
41.78,-87.76,Hazard,Weather,5
41.78,-87.76,Traffic Jam,Heavy,25
41.78,-87.76,Traffic Jam,Moderate,2
41.78,-87.76,Traffic Jam,Standstill,16
41.78,-87.76,Traffic Jam,Unclassified,16
41.78,-87.75,Accident,Unclassified,7
41.78,-87.75,Hazard,Road,49
41.78,-87.75,Hazard,Shoulder,9
41.78,-87.75,Hazard,Unclassified,16
41.78,-87.75,Hazard,Weather,1
41.78,-87.75,Traffic Jam,Heavy,9
41.78,-87.75,Traffic Jam,Standstill,11
41.78,-87.75,Traffic Jam,Unclassified,8
41.78,-87.74,Accident,Major,3
41.78,-87.74,Accident,Minor,11
41.78,-87.74,Accident,Unclassified,41
41.78,-87.74,Hazard,Road,225
41.78,-87.74,Hazard,Shoulder,62
41.78,-87.74,Hazard,Unclassified,18
41.78,-87.74,Hazard,Weather,18
41.78,-87.74,Traffic Jam,Heavy,159
41.78,-87.74,Traffic Jam,Moderate,5
41.78,-87.74,Traffic Jam,Standstill,130
41.78,-87.74,Traffic Jam,Unclassified,92
41.78,-87.73,Accident,Major,2
41.78,-87.73,Accident,Minor,5
41.78,-87.73,Accident,Unclassified,8
41.78,-87.73,Hazard,Road,25
41.78,-87.73,Hazard,Shoulder,3
41.78,-87.73,Road Closure,Unclassified,3
41.78,-87.73,Traffic Jam,Heavy,32
41.78,-87.73,Traffic Jam,Standstill,38
41.78,-87.73,Traffic Jam,Unclassified,16
41.78,-87.72,Accident,Major,2
41.78,-87.72,Accident,Minor,1
41.78,-87.72,Accident,Unclassified,26
41.78,-87.72,Hazard,Road,62
41.78,-87.72,Hazard,Shoulder,5
41.78,-87.72,Hazard,Unclassified,1
41.78,-87.72,Hazard,Weather,4
41.78,-87.72,Road Closure,Unclassified,2
41.78,-87.72,Traffic Jam,Heavy,72
41.78,-87.72,Traffic Jam,Standstill,32
41.78,-87.72,Traffic Jam,Unclassified,39
41.78,-87.71,Accident,Unclassified,3
41.78,-87.71,Hazard,Road,25
41.78,-87.71,Hazard,Unclassified,1
41.78,-87.71,Hazard,Weather,5
41.78,-87.71,Traffic Jam,Heavy,11
41.78,-87.71,Traffic Jam,Standstill,5
41.78,-87.71,Traffic Jam,Unclassified,16
41.78,-87.7,Accident,Major,4
41.78,-87.7,Accident,Minor,1
41.78,-87.7,Accident,Unclassified,8
41.78,-87.7,Hazard,Road,55
41.78,-87.7,Hazard,Shoulder,1
41.78,-87.7,Hazard,Weather,3
41.78,-87.7,Road Closure,Unclassified,2
41.78,-87.7,Traffic Jam,Heavy,28
41.78,-87.7,Traffic Jam,Moderate,1
41.78,-87.7,Traffic Jam,Standstill,15
41.78,-87.7,Traffic Jam,Unclassified,23
41.78,-87.69,Accident,Major,2
41.78,-87.69,Accident,Unclassified,6
41.78,-87.69,Hazard,Road,39
41.78,-87.69,Hazard,Shoulder,1
41.78,-87.69,Hazard,Weather,5
41.78,-87.69,Traffic Jam,Heavy,23
41.78,-87.69,Traffic Jam,Standstill,18
41.78,-87.69,Traffic Jam,Unclassified,23
41.78,-87.68,Accident,Major,2
41.78,-87.68,Accident,Unclassified,12
41.78,-87.68,Hazard,Road,119
41.78,-87.68,Hazard,Shoulder,7
41.78,-87.68,Hazard,Unclassified,4
41.78,-87.68,Hazard,Weather,2
41.78,-87.68,Road Closure,Unclassified,4
41.78,-87.68,Traffic Jam,Heavy,79
41.78,-87.68,Traffic Jam,Standstill,24
41.78,-87.68,Traffic Jam,Unclassified,31
41.78,-87.67,Accident,Unclassified,4
41.78,-87.67,Hazard,Road,58
41.78,-87.67,Hazard,Shoulder,3
41.78,-87.67,Hazard,Weather,2
41.78,-87.67,Traffic Jam,Heavy,19
41.78,-87.67,Traffic Jam,Standstill,15
41.78,-87.67,Traffic Jam,Unclassified,11
41.78,-87.66,Accident,Unclassified,6
41.78,-87.66,Hazard,Road,20
41.78,-87.66,Hazard,Shoulder,1
41.78,-87.66,Hazard,Unclassified,1
41.78,-87.66,Road Closure,Unclassified,2
41.78,-87.66,Traffic Jam,Heavy,45
41.78,-87.66,Traffic Jam,Standstill,9
41.78,-87.66,Traffic Jam,Unclassified,16
41.78,-87.65,Accident,Unclassified,3
41.78,-87.65,Hazard,Road,21
41.78,-87.65,Hazard,Shoulder,2
41.78,-87.65,Hazard,Weather,3
41.78,-87.65,Traffic Jam,Heavy,12
41.78,-87.65,Traffic Jam,Standstill,5
41.78,-87.65,Traffic Jam,Unclassified,15
41.78,-87.64,Accident,Major,1
41.78,-87.64,Accident,Unclassified,12
41.78,-87.64,Hazard,Road,72
41.78,-87.64,Hazard,Shoulder,5
41.78,-87.64,Hazard,Weather,3
41.78,-87.64,Traffic Jam,Heavy,8
41.78,-87.64,Traffic Jam,Moderate,1
41.78,-87.64,Traffic Jam,Standstill,10
41.78,-87.64,Traffic Jam,Unclassified,11
41.78,-87.63,Accident,Major,135
41.78,-87.63,Accident,Minor,23
41.78,-87.63,Accident,Unclassified,203
41.78,-87.63,Hazard,Road,780
41.78,-87.63,Hazard,Shoulder,2449
41.78,-87.63,Hazard,Unclassified,41
41.78,-87.63,Hazard,Weather,31
41.78,-87.63,Road Closure,Event,2
41.78,-87.63,Road Closure,Unclassified,26
41.78,-87.63,Traffic Jam,Heavy,775
41.78,-87.63,Traffic Jam,Moderate,25
41.78,-87.63,Traffic Jam,Standstill,452
41.78,-87.63,Traffic Jam,Unclassified,247
41.78,-87.62,Accident,Minor,1
41.78,-87.62,Accident,Unclassified,16
41.78,-87.62,Hazard,Road,113
41.78,-87.62,Hazard,Shoulder,35
41.78,-87.62,Hazard,Unclassified,1
41.78,-87.62,Hazard,Weather,1
41.78,-87.62,Road Closure,Event,1
41.78,-87.62,Road Closure,Unclassified,1
41.78,-87.62,Traffic Jam,Heavy,36
41.78,-87.62,Traffic Jam,Standstill,29
41.78,-87.62,Traffic Jam,Unclassified,27
41.78,-87.61,Accident,Unclassified,15
41.78,-87.61,Hazard,Road,87
41.78,-87.61,Hazard,Shoulder,7
41.78,-87.61,Hazard,Weather,4
41.78,-87.61,Road Closure,Unclassified,2
41.78,-87.61,Traffic Jam,Heavy,9
41.78,-87.61,Traffic Jam,Moderate,1
41.78,-87.61,Traffic Jam,Standstill,13
41.78,-87.61,Traffic Jam,Unclassified,18
41.78,-87.6,Accident,Major,1
41.78,-87.6,Accident,Unclassified,6
41.78,-87.6,Hazard,Road,44
41.78,-87.6,Hazard,Shoulder,1
41.78,-87.6,Hazard,Weather,1
41.78,-87.6,Road Closure,Unclassified,4
41.78,-87.6,Traffic Jam,Heavy,2
41.78,-87.6,Traffic Jam,Standstill,3
41.78,-87.6,Traffic Jam,Unclassified,10
41.78,-87.59,Accident,Minor,1
41.78,-87.59,Accident,Unclassified,12
41.78,-87.59,Hazard,Road,137
41.78,-87.59,Hazard,Shoulder,10
41.78,-87.59,Hazard,Weather,9
41.78,-87.59,Road Closure,Unclassified,16
41.78,-87.59,Traffic Jam,Heavy,27
41.78,-87.59,Traffic Jam,Standstill,13
41.78,-87.59,Traffic Jam,Unclassified,34
41.78,-87.58,Accident,Unclassified,41
41.78,-87.58,Hazard,Road,283
41.78,-87.58,Hazard,Shoulder,119
41.78,-87.58,Hazard,Weather,29
41.78,-87.58,Road Closure,Event,1
41.78,-87.58,Road Closure,Unclassified,3
41.78,-87.58,Traffic Jam,Heavy,94
41.78,-87.58,Traffic Jam,Moderate,2
41.78,-87.58,Traffic Jam,Standstill,78
41.78,-87.58,Traffic Jam,Unclassified,38
41.78,-87.57,Accident,Major,3
41.78,-87.57,Accident,Minor,5
41.78,-87.57,Accident,Unclassified,20
41.78,-87.57,Hazard,Road,162
41.78,-87.57,Hazard,Shoulder,40
41.78,-87.57,Hazard,Weather,7
41.78,-87.57,Road Closure,Unclassified,5
41.78,-87.57,Traffic Jam,Heavy,33
41.78,-87.57,Traffic Jam,Moderate,2
41.78,-87.57,Traffic Jam,Standstill,29
41.78,-87.57,Traffic Jam,Unclassified,22
41.79,-87.8,Accident,Major,7
41.79,-87.8,Accident,Minor,6
41.79,-87.8,Accident,Unclassified,36
41.79,-87.8,Hazard,Road,200
41.79,-87.8,Hazard,Shoulder,37
41.79,-87.8,Hazard,Unclassified,9
41.79,-87.8,Hazard,Weather,13
41.79,-87.8,Road Closure,Unclassified,2
41.79,-87.8,Traffic Jam,Heavy,175
41.79,-87.8,Traffic Jam,Moderate,10
41.79,-87.8,Traffic Jam,Standstill,142
41.79,-87.8,Traffic Jam,Unclassified,78
41.79,-87.79,Accident,Minor,2
41.79,-87.79,Accident,Unclassified,12
41.79,-87.79,Hazard,Road,52
41.79,-87.79,Hazard,Shoulder,9
41.79,-87.79,Hazard,Unclassified,15
41.79,-87.79,Hazard,Weather,1
41.79,-87.79,Road Closure,Event,11
41.79,-87.79,Traffic Jam,Heavy,45
41.79,-87.79,Traffic Jam,Moderate,2
41.79,-87.79,Traffic Jam,Standstill,29
41.79,-87.79,Traffic Jam,Unclassified,23
41.79,-87.78,Accident,Major,1
41.79,-87.78,Accident,Minor,2
41.79,-87.78,Accident,Unclassified,8
41.79,-87.78,Hazard,Road,56
41.79,-87.78,Hazard,Shoulder,4
41.79,-87.78,Hazard,Unclassified,1
41.79,-87.78,Hazard,Weather,1
41.79,-87.78,Road Closure,Event,11
41.79,-87.78,Traffic Jam,Heavy,72
41.79,-87.78,Traffic Jam,Moderate,1
41.79,-87.78,Traffic Jam,Standstill,49
41.79,-87.78,Traffic Jam,Unclassified,34
41.79,-87.77,Accident,Major,1
41.79,-87.77,Accident,Minor,2
41.79,-87.77,Accident,Unclassified,5
41.79,-87.77,Hazard,Road,45
41.79,-87.77,Hazard,Shoulder,6
41.79,-87.77,Hazard,Weather,2
41.79,-87.77,Road Closure,Unclassified,2
41.79,-87.77,Traffic Jam,Heavy,62
41.79,-87.77,Traffic Jam,Moderate,1
41.79,-87.77,Traffic Jam,Standstill,101
41.79,-87.77,Traffic Jam,Unclassified,42
41.79,-87.76,Accident,Major,1
41.79,-87.76,Accident,Unclassified,11
41.79,-87.76,Hazard,Road,101
41.79,-87.76,Hazard,Shoulder,23
41.79,-87.76,Hazard,Unclassified,12
41.79,-87.76,Traffic Jam,Heavy,115
41.79,-87.76,Traffic Jam,Moderate,1
41.79,-87.76,Traffic Jam,Standstill,162
41.79,-87.76,Traffic Jam,Unclassified,54
41.79,-87.75,Accident,Major,1
41.79,-87.75,Accident,Unclassified,7
41.79,-87.75,Hazard,Road,100
41.79,-87.75,Hazard,Shoulder,20
41.79,-87.75,Hazard,Unclassified,13
41.79,-87.75,Hazard,Weather,7
41.79,-87.75,Road Closure,Unclassified,3
41.79,-87.75,Traffic Jam,Heavy,12
41.79,-87.75,Traffic Jam,Standstill,12
41.79,-87.75,Traffic Jam,Unclassified,21
41.79,-87.74,Accident,Major,6
41.79,-87.74,Accident,Minor,5
41.79,-87.74,Accident,Unclassified,52
41.79,-87.74,Hazard,Road,391
41.79,-87.74,Hazard,Shoulder,152
41.79,-87.74,Hazard,Unclassified,8
41.79,-87.74,Hazard,Weather,20
41.79,-87.74,Road Closure,Unclassified,6
41.79,-87.74,Traffic Jam,Heavy,235
41.79,-87.74,Traffic Jam,Moderate,8
41.79,-87.74,Traffic Jam,Standstill,299
41.79,-87.74,Traffic Jam,Unclassified,158
41.79,-87.73,Accident,Unclassified,9
41.79,-87.73,Hazard,Road,78
41.79,-87.73,Hazard,Shoulder,3
41.79,-87.73,Hazard,Weather,1
41.79,-87.73,Road Closure,Unclassified,9
41.79,-87.73,Traffic Jam,Heavy,45
41.79,-87.73,Traffic Jam,Moderate,1
41.79,-87.73,Traffic Jam,Standstill,39
41.79,-87.73,Traffic Jam,Unclassified,24
41.79,-87.72,Accident,Major,1
41.79,-87.72,Accident,Minor,1
41.79,-87.72,Accident,Unclassified,13
41.79,-87.72,Hazard,Road,149
41.79,-87.72,Hazard,Shoulder,9
41.79,-87.72,Hazard,Unclassified,1
41.79,-87.72,Hazard,Weather,6
41.79,-87.72,Road Closure,Unclassified,1
41.79,-87.72,Traffic Jam,Heavy,79
41.79,-87.72,Traffic Jam,Moderate,1
41.79,-87.72,Traffic Jam,Standstill,30
41.79,-87.72,Traffic Jam,Unclassified,44
41.79,-87.71,Accident,Unclassified,6
41.79,-87.71,Hazard,Road,25
41.79,-87.71,Hazard,Shoulder,2
41.79,-87.71,Hazard,Weather,2
41.79,-87.71,Traffic Jam,Heavy,26
41.79,-87.71,Traffic Jam,Standstill,37
41.79,-87.71,Traffic Jam,Unclassified,18
41.79,-87.7,Accident,Major,1
41.79,-87.7,Accident,Minor,1
41.79,-87.7,Accident,Unclassified,14
41.79,-87.7,Hazard,Road,79
41.79,-87.7,Hazard,Shoulder,3
41.79,-87.7,Hazard,Weather,5
41.79,-87.7,Road Closure,Unclassified,2
41.79,-87.7,Traffic Jam,Heavy,51
41.79,-87.7,Traffic Jam,Moderate,2
41.79,-87.7,Traffic Jam,Standstill,22
41.79,-87.7,Traffic Jam,Unclassified,30
41.79,-87.69,Accident,Minor,1
41.79,-87.69,Accident,Unclassified,4
41.79,-87.69,Hazard,Road,75
41.79,-87.69,Hazard,Shoulder,1
41.79,-87.69,Hazard,Weather,2
41.79,-87.69,Road Closure,Event,1
41.79,-87.69,Road Closure,Unclassified,11
41.79,-87.69,Traffic Jam,Heavy,45
41.79,-87.69,Traffic Jam,Standstill,19
41.79,-87.69,Traffic Jam,Unclassified,24
41.79,-87.68,Accident,Major,1
41.79,-87.68,Accident,Unclassified,33
41.79,-87.68,Hazard,Road,147
41.79,-87.68,Hazard,Shoulder,29
41.79,-87.68,Hazard,Unclassified,6
41.79,-87.68,Hazard,Weather,4
41.79,-87.68,Road Closure,Event,2
41.79,-87.68,Road Closure,Unclassified,44
41.79,-87.68,Traffic Jam,Heavy,76
41.79,-87.68,Traffic Jam,Standstill,33
41.79,-87.68,Traffic Jam,Unclassified,37
41.79,-87.67,Accident,Major,1
41.79,-87.67,Accident,Unclassified,11
41.79,-87.67,Hazard,Road,105
41.79,-87.67,Hazard,Shoulder,4
41.79,-87.67,Hazard,Weather,3
41.79,-87.67,Traffic Jam,Heavy,22
41.79,-87.67,Traffic Jam,Moderate,1
41.79,-87.67,Traffic Jam,Standstill,9
41.79,-87.67,Traffic Jam,Unclassified,12
41.79,-87.66,Accident,Minor,1
41.79,-87.66,Accident,Unclassified,11
41.79,-87.66,Hazard,Road,102
41.79,-87.66,Hazard,Shoulder,11
41.79,-87.66,Hazard,Unclassified,2
41.79,-87.66,Hazard,Weather,3
41.79,-87.66,Road Closure,Unclassified,2
41.79,-87.66,Traffic Jam,Heavy,29
41.79,-87.66,Traffic Jam,Moderate,1
41.79,-87.66,Traffic Jam,Standstill,17
41.79,-87.66,Traffic Jam,Unclassified,12
41.79,-87.65,Accident,Minor,1
41.79,-87.65,Accident,Unclassified,7
41.79,-87.65,Hazard,Road,159
41.79,-87.65,Hazard,Shoulder,11
41.79,-87.65,Hazard,Weather,1
41.79,-87.65,Road Closure,Unclassified,1
41.79,-87.65,Traffic Jam,Heavy,18
41.79,-87.65,Traffic Jam,Moderate,1
41.79,-87.65,Traffic Jam,Standstill,9
41.79,-87.65,Traffic Jam,Unclassified,8
41.79,-87.64,Accident,Major,3
41.79,-87.64,Accident,Minor,1
41.79,-87.64,Accident,Unclassified,16
41.79,-87.64,Hazard,Road,139
41.79,-87.64,Hazard,Shoulder,24
41.79,-87.64,Hazard,Weather,5
41.79,-87.64,Road Closure,Event,2
41.79,-87.64,Road Closure,Unclassified,4
41.79,-87.64,Traffic Jam,Heavy,18
41.79,-87.64,Traffic Jam,Standstill,5
41.79,-87.64,Traffic Jam,Unclassified,11
41.79,-87.63,Accident,Major,108
41.79,-87.63,Accident,Minor,28
41.79,-87.63,Accident,Unclassified,243
41.79,-87.63,Hazard,Road,842
41.79,-87.63,Hazard,Shoulder,2754
41.79,-87.63,Hazard,Unclassified,40
41.79,-87.63,Hazard,Weather,25
41.79,-87.63,Road Closure,Unclassified,3
41.79,-87.63,Traffic Jam,Heavy,797
41.79,-87.63,Traffic Jam,Moderate,19
41.79,-87.63,Traffic Jam,Standstill,575
41.79,-87.63,Traffic Jam,Unclassified,240
41.79,-87.62,Accident,Major,1
41.79,-87.62,Accident,Unclassified,20
41.79,-87.62,Hazard,Road,123
41.79,-87.62,Hazard,Shoulder,10
41.79,-87.62,Hazard,Weather,6
41.79,-87.62,Road Closure,Event,10
41.79,-87.62,Road Closure,Unclassified,4
41.79,-87.62,Traffic Jam,Heavy,16
41.79,-87.62,Traffic Jam,Standstill,12
41.79,-87.62,Traffic Jam,Unclassified,16
41.79,-87.61,Accident,Major,3
41.79,-87.61,Accident,Minor,2
41.79,-87.61,Accident,Unclassified,15
41.79,-87.61,Hazard,Road,86
41.79,-87.61,Hazard,Shoulder,13
41.79,-87.61,Hazard,Weather,7
41.79,-87.61,Road Closure,Event,9
41.79,-87.61,Road Closure,Unclassified,5
41.79,-87.61,Traffic Jam,Heavy,55
41.79,-87.61,Traffic Jam,Moderate,4
41.79,-87.61,Traffic Jam,Standstill,40
41.79,-87.61,Traffic Jam,Unclassified,48
41.79,-87.6,Accident,Minor,1
41.79,-87.6,Accident,Unclassified,5
41.79,-87.6,Hazard,Road,70
41.79,-87.6,Hazard,Shoulder,2
41.79,-87.6,Hazard,Weather,3
41.79,-87.6,Road Closure,Unclassified,14
41.79,-87.6,Traffic Jam,Heavy,19
41.79,-87.6,Traffic Jam,Standstill,30
41.79,-87.6,Traffic Jam,Unclassified,18
41.79,-87.59,Accident,Major,3
41.79,-87.59,Accident,Minor,1
41.79,-87.59,Accident,Unclassified,15
41.79,-87.59,Hazard,Road,137
41.79,-87.59,Hazard,Shoulder,32
41.79,-87.59,Hazard,Weather,14
41.79,-87.59,Road Closure,Unclassified,52
41.79,-87.59,Traffic Jam,Heavy,52
41.79,-87.59,Traffic Jam,Moderate,3
41.79,-87.59,Traffic Jam,Standstill,69
41.79,-87.59,Traffic Jam,Unclassified,23
41.79,-87.58,Accident,Major,7
41.79,-87.58,Accident,Minor,8
41.79,-87.58,Accident,Unclassified,72
41.79,-87.58,Hazard,Road,254
41.79,-87.58,Hazard,Shoulder,265
41.79,-87.58,Hazard,Unclassified,2
41.79,-87.58,Hazard,Weather,5
41.79,-87.58,Road Closure,Event,7
41.79,-87.58,Road Closure,Unclassified,1
41.79,-87.58,Traffic Jam,Heavy,104
41.79,-87.58,Traffic Jam,Moderate,7
41.79,-87.58,Traffic Jam,Standstill,111
41.79,-87.58,Traffic Jam,Unclassified,48
41.8,-87.8,Accident,Major,4
41.8,-87.8,Accident,Minor,3
41.8,-87.8,Accident,Unclassified,3
41.8,-87.8,Hazard,Road,37
41.8,-87.8,Hazard,Shoulder,244
41.8,-87.8,Hazard,Unclassified,2
41.8,-87.8,Road Closure,Unclassified,4
41.8,-87.8,Traffic Jam,Heavy,38
41.8,-87.8,Traffic Jam,Moderate,1
41.8,-87.8,Traffic Jam,Standstill,25
41.8,-87.8,Traffic Jam,Unclassified,10
41.8,-87.79,Accident,Major,4
41.8,-87.79,Accident,Unclassified,2
41.8,-87.79,Hazard,Road,10
41.8,-87.79,Hazard,Shoulder,10
41.8,-87.79,Hazard,Unclassified,6
41.8,-87.79,Hazard,Weather,1
41.8,-87.79,Traffic Jam,Heavy,10
41.8,-87.79,Traffic Jam,Standstill,10
41.8,-87.79,Traffic Jam,Unclassified,4
41.8,-87.78,Hazard,Road,7
41.8,-87.78,Road Closure,Unclassified,1
41.8,-87.78,Traffic Jam,Unclassified,1
41.8,-87.77,Accident,Unclassified,1
41.8,-87.77,Hazard,Road,20
41.8,-87.77,Road Closure,Unclassified,6
41.8,-87.77,Traffic Jam,Heavy,4
41.8,-87.77,Traffic Jam,Standstill,1
41.8,-87.77,Traffic Jam,Unclassified,3
41.8,-87.76,Accident,Major,2
41.8,-87.76,Accident,Minor,4
41.8,-87.76,Accident,Unclassified,18
41.8,-87.76,Hazard,Road,83
41.8,-87.76,Hazard,Shoulder,26
41.8,-87.76,Hazard,Weather,4
41.8,-87.76,Road Closure,Unclassified,2
41.8,-87.76,Traffic Jam,Heavy,75
41.8,-87.76,Traffic Jam,Moderate,4
41.8,-87.76,Traffic Jam,Standstill,91
41.8,-87.76,Traffic Jam,Unclassified,34
41.8,-87.75,Accident,Unclassified,11
41.8,-87.75,Hazard,Road,42
41.8,-87.75,Hazard,Shoulder,4
41.8,-87.75,Hazard,Weather,5
41.8,-87.75,Traffic Jam,Heavy,2
41.8,-87.75,Traffic Jam,Standstill,3
41.8,-87.75,Traffic Jam,Unclassified,5
41.8,-87.74,Accident,Major,3
41.8,-87.74,Accident,Minor,2
41.8,-87.74,Accident,Unclassified,44
41.8,-87.74,Hazard,Road,282
41.8,-87.74,Hazard,Shoulder,61
41.8,-87.74,Hazard,Weather,15
41.8,-87.74,Traffic Jam,Heavy,169
41.8,-87.74,Traffic Jam,Moderate,4
41.8,-87.74,Traffic Jam,Standstill,170
41.8,-87.74,Traffic Jam,Unclassified,74
41.8,-87.73,Accident,Major,1
41.8,-87.73,Accident,Unclassified,10
41.8,-87.73,Hazard,Road,36
41.8,-87.73,Hazard,Shoulder,4
41.8,-87.73,Road Closure,Unclassified,3
41.8,-87.73,Traffic Jam,Heavy,33
41.8,-87.73,Traffic Jam,Moderate,2
41.8,-87.73,Traffic Jam,Standstill,22
41.8,-87.73,Traffic Jam,Unclassified,21
41.8,-87.72,Accident,Major,4
41.8,-87.72,Accident,Minor,5
41.8,-87.72,Accident,Unclassified,39
41.8,-87.72,Hazard,Road,123
41.8,-87.72,Hazard,Shoulder,17
41.8,-87.72,Hazard,Unclassified,1
41.8,-87.72,Hazard,Weather,3
41.8,-87.72,Road Closure,Unclassified,1
41.8,-87.72,Traffic Jam,Heavy,106
41.8,-87.72,Traffic Jam,Moderate,4
41.8,-87.72,Traffic Jam,Standstill,87
41.8,-87.72,Traffic Jam,Unclassified,49
41.8,-87.71,Accident,Minor,1
41.8,-87.71,Hazard,Road,8
41.8,-87.71,Hazard,Shoulder,2
41.8,-87.71,Hazard,Unclassified,1
41.8,-87.71,Hazard,Weather,1
41.8,-87.71,Traffic Jam,Heavy,21
41.8,-87.71,Traffic Jam,Standstill,18
41.8,-87.71,Traffic Jam,Unclassified,8
41.8,-87.7,Accident,Major,2
41.8,-87.7,Accident,Minor,1
